code,rdkit_smiles
036,O=C(O)C(CCCCCOP(=O)(O)O)OP(=O)(O)O
037,O=C(O)C1NCC2CCCC21
038,CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nnn[nH]1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(c1)C(=O)O
039,COc1ccccc1N1C(=O)c2c(Cl)cccc2N=C1CSc1ncnc2[nH]cnc12
03A,CCCC(N)C(=O)C(=O)NC1CC1
03B,Cc1c(C(=O)O)c(c2cccc(c2)N2CCN(CC2)c2ccc(cc2)NS(=O)(=O)c2ccc(NC(CCN(C)C)CSc3ccccc3)c(c2)[N+](=O)[O-])c(c2ccc(Cl)cc2)n1C
03C,Cc1ccccc1n1ncc(C(=O)c2cccc(c2)C2CCN(CC2)S(C)(=O)=O)c1N
03D,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(CC1CC1)CC(O)C(O)Cc1ccccc1
03E,NC1(CCCCCC1)C(=O)O
03F,CCCCCCCCC=CCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C=CCCCCCCCCCCCCC
03G,CC1(C)CC(CC(C)(C)N1)NC(=O)C(=O)Nc1ccc(Cl)cc1
03H,CC(C)CC(Cl)C(=O)O
03I,CC(CCc1ccc(cc1)c1ccc(cc1)OCCCN1CCOCC1)(C(=O)NO)S(C)(=O)=O
03J,O=C(O)CCc1ccc(cc1)c1cc(cs1)c1ccccc1
03K,NC(=O)c1ccc(cc1)C(=O)Nc1cc([nH]n1)C1CC1
03L,O=C(O)c1ccccc1C(=O)NCc1c(Cl)cccc1Sc1ccc(Cl)cc1Cl
03M,Cc1c(Cl)ccc2c(C=C3NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12
03N,N=C(N)N1CCC(CN)CC1
03O,CN1C2C(=O)NC(N)=NC=2NCC1CNc1ccc(cc1)C(=O)O
03P,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c21
03Q,OCCOCCn1ccc2ncnc(Nc3cnc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c21
03R,[H]N=C(N)c1cccc(c1)Oc1nc(Oc2ccccc2C(=O)O)c(F)c(NC(C)CCc2ccccc2)c1F
03S,CS(=O)(=O)O
03T,NS(=O)(=O)c1cc2ccccc2s1
03U,CCC(O)=C(C#N)C(=O)Nc1ccc(c(c1)C(=O)OC)c1ccc(F)cc1
03V,Oc1ccc2ccccc2c1
03W,OCC(O)C(O)O
03X,COc1cc2nccc(Oc3ccc(cc3F)NC(=O)C3C(=O)N(c4ccccc4)N(C)C=3C)c2cc1OC
03Y,CC(N)(CS)C(=O)O
03Z,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)sc1C(=O)c1ccccc1
040,Cc1ccccc1C(=O)CC(=O)C(=O)O
041,C=Cc1cc(O)cc2nc(oc12)c1ccc(O)c(F)c1
042,CCOC(=O)C1OC1C(=O)NC(C(=O)NC(C(=O)O)C(C)CC)C(C)O
043,O=C(O)C(=O)CC(=O)c1cccc(Br)c1
044,COc1ccc2c(ccnc2c1)Oc1ccc(cc1F)NC(=O)C1C(=O)N(c2ccccc2)N(CC(C)O)C=1C
045,OCC1OC(OC2(CO)OC(COC3(CO)OC(CO)C(O)C3O)C(O)C2O)C(O)C(O)C1O
046,CC(=O)Nc1cc(ncn1)Oc1ccc2c(c1)CCN2C(=O)Nc1ccc(CN2CCN(C)CC2)c(c1)C(F)(F)F
047,Cc1ccc(cc1)n1cc(CNCC2CCCCC2)c2ccccc21
048,O=C(Nc1cc(ccc1F)Nc1ccc2C(=O)CCCCc2c1)c1ccccc1
049,CC(=O)NC(Cc1ccccc1)C(O)C1(C)CO1
04A,O=C(Cc1ccccc1)Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1
04B,CC(CO)C(O)C(N)Cc1ccccc1
04C,COc1ccc(cc1)CC(NC(=O)C(C)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(O)C(C)CO
04D,CC(C)CC(N)C(O)C(C)CO
04E,O=C(O)CI
04F,NC(CC1CCNC1=O)C(O)S(=O)(=O)O
04G,O=C1C=CC2=Nc3ccc(O)cc3OC2=C1
04H,N=C(N)N1CCCC(CN)C1
04J,Nc1nc(N)c2nc(cnc2n1)CNc1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O
04K,CCN(CC)CCOc1ccc(cc1)Nc1ncc2C=C(Oc3ccc(F)cc3)C(=O)N(C)c2n1
04L,Cc1ccc(cc1C(=O)Nc1cnc2[nH]c(nc2c1)c1ccccc1)NC(=O)C=Cc1ccccc1
04M,CCCCCCCCOc1cccc(c1)COc1ccc(cc1C(=O)O)S(=O)(=O)N1CCOCC1
04N,NC1C(O)OC2COC(OC2C1O)c1ccccc1
04O,NC1C(O)OC2COC(CCc3ccccc3)OC2C1O
04P,N=C(N)N1CCCC(CO)C1
04Q,O=C(O)CNCc1ccccc1
04R,O=C(O)Cn1nc(c2CCCCc21)C(F)(F)F
04S,NC1CCNC1
04T,CC(=O)Nc1ccc(cc1)Nc1ccc(cc1[N+](=O)[O-])S(C)(=O)=O
04U,N=[N+]=NC1CNC(C1)C(=O)O
04V,N=C(O)C1CCCN1
04W,CCCCCCCCCCOc1cccc(c1)COc1ccc(cc1C(=O)O)[N+](=O)[O-]
04X,O=C(O)C1CC=C(CN1)CN1CCOCC1
04Z,COc1cccc(c1)C(=O)c1sc(nc1N)Nc1ccc(cc1)S(N)(=O)=O
051,N#Cc1ccc(COc2ccc3cc(ccc3c2)S(=O)(=O)NC2CCC(CC2C(=O)O)C(=O)O)c(F)c1
052,Cc1cc(ccc1C(=O)NC1CC1)c1cnn2c(cc(nc12)Oc1ccccc1)NCCN1CCOCC1
053,Nc1cc(ccn1)Cn1c(C(=O)O)c(C2=CC=CNC2=O)c2cc(ccc21)C(F)(F)F
054,Nc1cc(ccn1)Cn1c(C(=O)O)c(c2cc(ccc21)C(F)(F)F)N1C(=O)Nc2cscc2C1=O
055,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)NC(C(=O)O)c1ccccc1
056,O=C(O)c1cccc(c1)CSCc1ccc(Cl)cc1Cl
057,Cn1cc(c2cc3cccnc3[nH]2)c2cc(ccc21)C(=O)NC(C)(C)CO
058,O=C(O)c1c(c2ccccc2F)c2cc(Cl)ccc2n1Cc1ccccc1
059,CC(C)C(NS(=O)(=O)CCc1ccccc1)P(=O)(O)CC(C(=O)O)c1cccc(c1)CN
05B,O=C1NCC2(CCNCC2)c2[nH]c(cc21)c1ccnc(n1)c1ccc2OCOc2c1
05L,CCCCCCC[Se]C1OC(CO)C(O)C(O)C1O
05N,CC1C(O)CNC1C(=O)O
05R,O=C(O)Cc1ccc(Cl)c(Cl)c1
05S,Cc1c2C(=O)CC(C)(C)Cc2n2-c3ccc(C(N)=O)c(c3)NC(C)CNCCCc12
05T,N=C(N)NC1CCC(CN)CC1
05U,CC(C)CC(N)C(O)C(C)C
05W,CC(C)CC(N)C(O)C(C)CO
060,CSCC(N)C(=O)O
061,CCCCC1=Nc2ccc(O)cc2C(=O)N1Cc1ccc(cc1)c1ccccc1c1nnn[nH]1
062,NCc1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C1(O)c2ccccc2-c2c[n+]([O-])ccc21
064,CC(C)c1onc(c1COc1ccc(C=Cc2cccc(c2)C(=O)O)c(Cl)c1)c1c(Cl)cccc1Cl
065,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2OCOc2c1
